Hét,Intervallum,Korcsoport,Összes,TB-n kívül,Oltatlan,Egyszer oltott (1-20),Egyszer oltott (21-),Kétszer oltott,Kétszer oltottak aránya,Oltatlanok aránya
36,32-35,Under 18,3,0,3,0,0,0,0.0,0.0
36,32-35,18-29,18,1,13,0,1,3,0.1,0.4
36,32-35,30-39,45,2,31,0,4,8,0.1,1.0
36,32-35,40-49,93,3,54,0,9,27,0.4,3.1
36,32-35,50-59,191,3,100,0,17,71,1.0,9.7
36,32-35,60-69,332,7,115,2,14,194,3.4,21.2
36,32-35,70-79,580,2,129,1,20,428,9.2,52.1
36,32-35,80+,1119,7,155,3,26,928,36.0,121.5
37,33-36,Under 18,4,1,3,0,0,0,0.0,0.0
37,33-36,18-29,18,0,13,0,1,4,0.1,0.4
37,33-36,30-39,50,2,36,0,3,9,0.2,1.2
37,33-36,40-49,114,3,75,0,7,29,0.5,4.4
37,33-36,50-59,240,5,126,0,16,93,1.3,12.2
37,33-36,60-69,391,9,132,1,18,231,4.1,24.3
37,33-36,70-79,742,2,156,0,28,556,12.0,63.1
37,33-36,80+,1402,7,185,4,34,1172,45.5,145.4
38,34-37,Under 18,6,2,4,0,0,0,0.0,0.0
38,34-37,18-29,17,0,12,0,0,5,0.1,0.3
38,34-37,30-39,48,2,35,0,1,10,0.2,1.2
38,34-37,40-49,104,3,64,0,7,30,0.5,3.8
38,34-37,50-59,250,7,128,0,13,102,1.4,12.4
38,34-37,60-69,411,8,125,0,20,258,4.5,23.1
38,34-37,70-79,801,3,164,0,27,607,13.1,66.4
38,34-37,80+,1521,8,198,1,42,1272,49.5,156.0
39,35-38,Under 18,6,2,4,0,0,0,0.0,0.0
39,35-38,18-29,20,1,15,0,0,4,0.1,0.4
39,35-38,30-39,42,1,30,0,0,11,0.2,1.0
39,35-38,40-49,92,3,52,0,7,30,0.5,3.1
39,35-38,50-59,251,5,125,0,12,109,1.5,12.2
39,35-38,60-69,419,4,121,0,21,273,4.8,22.4
39,35-38,70-79,804,4,151,0,26,623,13.4,61.2
39,35-38,80+,1531,10,189,1,43,1288,50.1,149.4
40,36-39,Under 18,6,3,2,1,0,0,0.0,0.0
40,36-39,18-29,18,1,12,0,0,5,0.1,0.4
40,36-39,30-39,38,2,29,0,0,7,0.1,1.0
40,36-39,40-49,77,3,46,0,5,23,0.4,2.7
40,36-39,50-59,238,6,113,1,12,106,1.5,11.0
40,36-39,60-69,414,7,114,0,22,271,4.8,21.1
40,36-39,70-79,786,3,127,0,22,634,13.7,51.6
40,36-39,80+,1449,8,168,1,37,1235,48.1,133.2
41,37-40,Under 18,4,0,3,1,0,0,0.0,0.0
41,37-40,18-29,19,1,12,0,0,6,0.1,0.4
41,37-40,30-39,29,1,22,0,0,6,0.1,0.8
41,37-40,40-49,64,1,33,0,3,27,0.4,2.0
41,37-40,50-59,203,3,101,1,10,88,1.2,9.9
41,37-40,60-69,378,6,109,0,22,241,4.2,20.2
41,37-40,70-79,726,2,116,0,19,589,12.7,47.2
41,37-40,80+,1382,6,161,0,36,1179,45.9,128.1
42,38-41,Under 18,5,0,4,1,0,0,0.0,0.0
42,38-41,18-29,17,1,11,0,0,5,0.1,0.3
42,38-41,30-39,24,1,20,0,0,3,0.1,0.7
42,38-41,40-49,64,1,34,0,1,28,0.5,2.0
42,38-41,50-59,184,3,83,1,9,88,1.2,8.1
42,38-41,60-69,367,4,105,0,20,238,4.2,19.5
42,38-41,70-79,719,3,98,0,19,599,12.9,39.9
42,38-41,80+,1365,6,147,0,37,1175,45.7,117.0
43,39-42,Under 18,5,0,4,1,0,0,0.0,0.0
43,39-42,18-29,11,1,7,0,0,3,0.1,0.2
43,39-42,30-39,25,0,18,0,1,6,0.1,0.6
43,39-42,40-49,65,1,35,0,1,28,0.5,2.0
43,39-42,50-59,159,3,74,0,5,77,1.1,7.1
43,39-42,60-69,374,3,105,0,16,250,4.3,19.0
43,39-42,70-79,736,2,101,0,21,612,13.0,39.7
43,39-42,80+,1397,5,143,0,40,1209,44.9,110.0
44,40-43,Under 18,6,0,6,0,0,0,0.0,0.1
44,40-43,18-29,9,0,7,0,0,2,0.0,0.2
44,40-43,30-39,25,1,17,0,2,5,0.1,0.6
44,40-43,40-49,73,1,37,0,1,34,0.6,2.2
44,40-43,50-59,179,4,81,0,5,89,1.3,7.9
44,40-43,60-69,420,3,118,0,14,285,5.0,21.9
44,40-43,70-79,809,2,115,0,18,674,14.6,46.8
44,40-43,80+,1564,4,157,0,45,1358,52.9,125.0
45,41-44,Under 18,8,1,7,0,0,0,0.0,0.1
45,41-44,18-29,9,0,8,0,0,1,0.0,0.2
45,41-44,30-39,34,1,21,0,2,10,0.2,0.7
45,41-44,40-49,82,2,40,0,2,38,0.6,2.3
45,41-44,50-59,196,5,84,0,5,102,1.4,8.1
45,41-44,60-69,482,3,124,0,16,339,5.9,22.4
45,41-44,70-79,924,4,140,0,15,765,16.2,55.0
45,41-44,80+,1695,5,163,0,50,1477,54.9,125.4
46,42-45,Under 18,11,1,10,0,0,0,0.0,0.1
46,42-45,18-29,12,0,9,0,2,1,0.0,0.3
46,42-45,30-39,40,1,25,0,4,10,0.2,0.9
46,42-45,40-49,91,3,44,0,3,41,0.7,2.6
46,42-45,50-59,232,5,102,0,9,116,1.6,9.8
46,42-45,60-69,548,4,151,0,20,373,6.5,27.3
46,42-45,70-79,991,7,153,0,16,815,17.2,60.4
46,42-45,80+,1751,5,181,3,43,1519,56.5,140.1
47,43-46,Under 18,9,1,8,0,0,0,0.0,0.1
47,43-46,18-29,13,0,9,0,2,2,0.0,0.3
47,43-46,30-39,44,1,28,0,4,11,0.2,1.0
47,43-46,40-49,104,3,51,0,4,46,0.7,3.0
47,43-46,50-59,250,5,108,0,11,126,1.8,10.4
47,43-46,60-69,555,3,154,0,18,380,6.6,27.9
47,43-46,70-79,1025,6,163,1,9,846,17.9,64.6
47,43-46,80+,1726,7,187,5,35,1492,55.6,145.5
48,44-47,Under 18,8,1,7,0,0,0,0.0,0.1
48,44-47,18-29,13,0,8,0,3,2,0.0,0.2
48,44-47,30-39,35,2,24,0,3,6,0.1,0.8
48,44-47,40-49,100,3,50,0,3,44,0.7,2.9
48,44-47,50-59,264,5,107,0,12,140,2.0,10.4
48,44-47,60-69,531,4,146,0,19,362,6.3,26.5
48,44-47,70-79,1002,6,164,1,13,818,17.3,65.3
48,44-47,80+,1618,9,189,5,37,1378,51.4,147.8
49,45-48,Under 18,4,0,4,0,0,0,0.0,0.0
49,45-48,18-29,13,0,9,0,2,2,0.0,0.3
49,45-48,30-39,42,1,31,0,2,8,0.1,1.1
49,45-48,40-49,100,3,45,0,3,49,0.8,2.7
49,45-48,50-59,255,5,113,1,8,128,1.8,11.0
49,45-48,60-69,492,3,138,0,16,335,5.8,25.2
49,45-48,70-79,902,6,168,1,18,709,15.0,67.2
49,45-48,80+,1502,12,200,6,35,1249,46.6,157.3
50,46-49,Under 18,4,0,3,0,0,1,0.4,0.0
50,46-49,18-29,13,0,9,0,1,3,0.1,0.3
50,46-49,30-39,46,0,37,0,1,8,0.1,1.3
50,46-49,40-49,104,3,51,0,4,46,0.7,3.0
50,46-49,50-59,243,5,108,1,8,121,1.7,10.5
50,46-49,60-69,457,4,127,0,12,314,5.4,23.2
50,46-49,70-79,798,5,167,1,17,608,12.9,67.1
50,46-49,80+,1422,11,216,4,33,1158,43.3,171.0
51,47-50,Under 18,4,0,3,0,0,1,0.3,0.0
51,47-50,18-29,14,0,9,0,1,4,0.1,0.3
51,47-50,30-39,53,0,43,0,1,9,0.1,1.5
51,47-50,40-49,113,3,60,0,4,46,0.7,3.6
51,47-50,50-59,244,5,116,1,10,112,1.6,11.4
51,47-50,60-69,453,5,141,0,9,298,5.1,25.9
51,47-50,70-79,725,8,169,1,22,525,11.1,68.3
51,47-50,80+,1350,13,241,4,37,1055,39.5,191.9
52,48-51,Under 18,5,0,4,0,0,1,0.2,0.0
52,48-51,18-29,20,0,15,0,0,5,0.1,0.5
52,48-51,30-39,55,0,37,0,3,15,0.2,1.3
52,48-51,40-49,107,2,59,0,4,42,0.7,3.5
52,48-51,50-59,229,3,102,1,11,112,1.6,10.1
52,48-51,60-69,443,5,145,0,16,277,4.8,27.0
52,48-51,70-79,628,9,164,2,27,426,9.0,67.4
52,48-51,80+,1403,7,283,3,39,1071,40.3,228.8
53,49-1,Under 18,8,0,8,0,0,0,0.0,0.1
53,49-1,18-29,23,0,15,0,0,8,0.1,0.5
53,49-1,30-39,64,0,37,0,3,24,0.4,1.3
53,49-1,40-49,115,2,69,0,5,39,0.6,4.2
53,49-1,50-59,263,2,116,1,15,129,1.8,11.6
53,49-1,60-69,499,10,181,0,21,287,4.9,34.0
53,49-1,70-79,715,6,196,2,35,476,10.1,81.3
53,49-1,80+,1487,11,302,4,44,1126,42.4,246.7
